#SampleID	Dataset	FullName	Condition-date	Condition
filteredwater-17032022-1	1	filteredwater-17032022-1	filteredwater-17032022	filteredwater
filteredwater-17032022-2	2	filteredwater-17032022-2	filteredwater-17032022	filteredwater
filteredwater-17032022-3	3	filteredwater-17032022-3	filteredwater-17032022	filteredwater
plastic-03032022-1	4	plastic-03032022-1	plastic-03032022	plastic
plastic-03032022-2	5	plastic-03032022-2	plastic-03032022	plastic
plastic-03032022-3	6	plastic-03032022-3	plastic-03032022	plastic
plastic-17032022-1	7	plastic-17032022-1	plastic-17032022	plastic
plastic-17032022-2	8	plastic-17032022-2	plastic-17032022	plastic
plastic-17032022-3	9	plastic-17032022-3	plastic-17032022	plastic
plastic-31032022-1	10	plastic-31032022-1	plastic-31032022	plastic
plastic-31032022-2	11	plastic-31032022-2	plastic-31032022	plastic
plastic-31032022-3	12	plastic-31032022-3	plastic-31032022	plastic
unfilteredwater-17032022-2	13	unfilteredwater-17032022-2	unfilteredwater-17032022	unfilteredwater
unfilteredwater-17032022-3	14	unfilteredwater-17032022-3	unfilteredwater-17032022	unfilteredwater
